site,cimlapon,rovatban,darab
24.hu,0,1,175
24.hu,0,2,2
24.hu,1,0,107
24.hu,1,1,31
24.hu,2,0,71
24.hu,2,1,73
24.hu,2,2,3
24.hu,2,6,1
24.hu,3,0,24
24.hu,3,1,39
24.hu,3,2,2
24.hu,4,0,16
24.hu,4,1,7
24.hu,4,2,3
24.hu,5,0,4
24.hu,5,1,5
24.hu,6,0,6
24.hu,6,1,4
24.hu,6,2,1
Blikk,0,1,404
Blikk,0,2,21
Blikk,0,3,38
Blikk,0,6,5
Blikk,0,9,1
Blikk,0,11,2
Blikk,0,12,1
Blikk,0,14,1
Blikk,0,18,1
Blikk,0,19,2
Blikk,0,23,1
Blikk,1,0,154
Blikk,1,1,38
Blikk,1,2,31
Blikk,1,3,31
Blikk,1,8,1
Blikk,1,9,2
Blikk,1,10,2
Blikk,1,12,1
Blikk,1,14,1
Blikk,1,17,1
Blikk,1,27,1
Blikk,1,28,1
Blikk,1,29,2
Blikk,1,30,2
Blikk,2,0,13
Blikk,2,1,9
Blikk,2,2,12
Blikk,2,3,25
Blikk,2,6,2
Blikk,2,8,1
Blikk,2,9,1
Blikk,2,12,1
Blikk,2,14,1
Blikk,2,22,1
Blikk,2,24,1
Blikk,2,25,1
Blikk,2,29,2
Blikk,2,30,1
Blikk,3,0,6
Blikk,3,1,3
Blikk,3,2,1
Blikk,4,0,3
Blikk,4,1,1
Blikk,4,29,1
Blikk,5,0,3
Blikk,5,1,5
Blikk,5,29,1
Blikk,6,0,12
Blikk,6,1,1
Blikk,6,2,1
Blikk,6,10,1
Blikk,6,29,9
Nepszava,0,1,1465
Nepszava,0,2,24
Nepszava,1,0,5
Nepszava,1,1,52
Nepszava,1,2,2
Nepszava,2,0,1
Nepszava,2,1,107
Nepszava,2,2,7
Nepszava,3,1,6
Nepszava,4,1,10
Nepszava,5,1,1
Nepszava,6,0,3
Nepszava,6,1,32
Nepszava,6,2,1
Origo,0,1,13
Origo,0,2,3
Origo,0,3,1
Origo,0,4,2
Origo,1,0,199
Origo,1,1,20
Origo,2,0,134
Origo,2,1,16
Origo,2,12,1
Origo,3,0,29
Origo,3,1,5
Origo,3,12,3
Origo,4,0,13
Origo,4,1,4
Origo,4,12,1
Origo,5,0,2
Origo,6,0,8
Portfolio,0,1,163
Portfolio,0,3,2
Portfolio,0,4,1
Portfolio,0,5,1
Portfolio,0,7,1
Portfolio,0,8,1
Portfolio,0,9,1
Portfolio,0,10,3
Portfolio,0,11,2
Portfolio,0,16,1
Portfolio,1,0,221
Portfolio,1,1,26
Portfolio,1,3,1
Portfolio,1,4,1
Portfolio,1,7,1
Portfolio,1,8,1
Portfolio,1,9,1
Portfolio,1,10,1
Portfolio,1,11,1
Portfolio,1,13,3
Portfolio,1,14,1
Portfolio,2,0,72
Portfolio,2,1,41
Portfolio,2,2,7
Portfolio,2,11,6
Portfolio,2,12,1
Portfolio,2,14,1
Portfolio,2,18,2
Portfolio,3,0,13
Portfolio,3,1,18
Portfolio,3,2,2
Portfolio,3,18,1
Portfolio,4,1,4
Portfolio,5,0,1
Portfolio,5,1,3
Portfolio,5,2,1
Portfolio,6,0,3
Portfolio,6,1,9
Portfolio,6,2,5
Portfolio,6,15,7
Portfolio,6,18,5
Vadhajtasok,0,1,82
Vadhajtasok,0,2,3
Vadhajtasok,0,3,1
Vadhajtasok,1,0,12
Vadhajtasok,1,1,29
Vadhajtasok,1,2,6
Vadhajtasok,2,0,6
Vadhajtasok,2,1,16
Vadhajtasok,2,2,15
Vadhajtasok,2,3,2
Vadhajtasok,3,1,10
Vadhajtasok,3,2,2
Vadhajtasok,4,0,2
Vadhajtasok,4,1,2
Vadhajtasok,5,1,1
Vadhajtasok,5,2,1
Vadhajtasok,6,0,3
Vadhajtasok,6,1,12
